unit_number,street_address_1,street_address_2,city,state,zip,building_number,association_number,folio,strap
2312,4281 BELLASOL CIRCLE,,FORT MYERS,FL,33916,23,6,10517089,31-44-25-P3-01823.2312
1114,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503628,31-44-25-P3-01311.1114
921,4222 BELLASOL CIRCLE,,FORT MYERS,FL,33916,9,4,10511475,31-44-25-P3-01609.0921
1411,4128 BELLASOL CIRCLE,,FORT MYERS,FL,33916,14,2,10505618,31-44-25-P3-01414.1411
322,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502564,31-44-25-P3-01403.0322
1021,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511483,31-44-25-P3-01610.1021
214,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502548,31-44-25-P3-01402.0214
2612,4299 BELLASOL CIRCLE,,FORT MYERS,FL,33916,26,6,10517113,31-44-25-P3-01826.2612
422,4141 BELLASOL CIRCLE,,FORT MYERS,FL,33916,4,3,10511492,31-44-25-P3-01504.0422
2712,4327 BELLASOL CIRCLE,,FORT MYERS,FL,33916,27,7,10499625,31-44-25-P3-01327.2712
1321,4104 BELLASOL CIRCLE,,FORT MYERS,FL,33916,13,1,10499775,31-44-25-P3-01313.1321
1616,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505974,31-44-25-P3-01416.1616
2111,4267 BELLASOL CIRCLE,,FORT MYERS,FL,33916,21,5,10516493,31-44-25-P3-01721.2111
2022,4259 BELLASOL CIRCLE,,FORT MYERS,FL,33916,20,5,10515083,31-44-25-P3-01720.2022
1622,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505976,31-44-25-P3-01416.1622
1211,4101 BELLASOL CIRCLE,,FORT MYERS,FL,33916,12,1,10499763,31-44-25-P3-01312.1211
1924,4241 BELLASOL CIRCLE,,FORT MYERS,FL,33916,19,5,10515077,31-44-25-P3-01719.1924
3421,4306 BELLASOL CIRCLE,,FORT MYERS,FL,33916,34,7,10508329,31-44-25-P3-01334.3421
711,4206 BELLASOL CIRCLE,,FORT MYERS,FL,33916,7,4,10511451,31-44-25-P3-01607.0711
2811,4315 BELLASOL CIRCLE,,FORT MYERS,FL,33916,28,7,10499628,31-44-25-P3-01328.2811
1814,4233 BELLASOL CIRCLE,,FORT MYERS,FL,33916,18,5,10512609,31-44-25-P3-01718.1814
612,4199 BELLASOL CIRCLE,,FORT MYERS,FL,33916,6,3,10517569,31-44-25-P3-01506.0612
1313,4104 BELLASOL CIRCLE,,FORT MYERS,FL,33916,13,1,10499773,31-44-25-P3-01313.1313
1714,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508186,31-44-25-P3-01417.1714
111,4117 BELLASOL CIRCLE,,FORT MYERS,FL,33916,1,1,10501862,31-44-25-P3-01301.0111
412,4141 BELLASOL CIRCLE,,FORT MYERS,FL,33916,4,3,10511488,31-44-25-P3-01504.0412
2021,4259 BELLASOL CIRCLE,,FORT MYERS,FL,33916,20,5,10515082,31-44-25-P3-01720.2021
1721,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508187,31-44-25-P3-01417.1721
424,4141 BELLASOL CIRCLE,,FORT MYERS,FL,33916,4,3,10511494,31-44-25-P3-01504.0424
112,4117 BELLASOL CIRCLE,,FORT MYERS,FL,33916,1,1,10501863,31-44-25-P3-01301.0112
2711,4327 BELLASOL CIRCLE,,FORT MYERS,FL,33916,27,7,10499624,31-44-25-P3-01327.2711
314,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502560,31-44-25-P3-01403.0314
1923,4241 BELLASOL CIRCLE,,FORT MYERS,FL,33916,19,5,10515076,31-44-25-P3-01719.1923
2122,4267 BELLASOL CIRCLE,,FORT MYERS,FL,33916,21,5,10516498,31-44-25-P3-01721.2122
2722,4327 BELLASOL CIRCLE,,FORT MYERS,FL,33916,27,7,10499627,31-44-25-P3-01327.2722
2212,4275 BELLASOL CIRCLE,,FORT MYERS,FL,33916,22,5,10517685,31-44-25-P3-01722.2212
2514,4293 BELLASOL CIRCLE,,FORT MYERS,FL,33916,25,6,10517107,31-44-25-P3-01825.2514
1213,4101 BELLASOL CIRCLE,,FORT MYERS,FL,33916,12,1,10499765,31-44-25-P3-01312.1213
3012,4330 BELLASOL CIRCLE,,FORT MYERS,FL,33916,30,7,10499633,31-44-25-P3-01330.3012
2413,4287 BELLASOL CIRCLE,,FORT MYERS,FL,33916,24,6,10517098,31-44-25-P3-01824.2413
1022,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511484,31-44-25-P3-01610.1022
3212,4318 BELLASOL CIRCLE,,FORT MYERS,FL,33916,32,7,10508320,31-44-25-P3-01332.3212
1212,4101 BELLASOL CIRCLE,,FORT MYERS,FL,33916,12,1,10499764,31-44-25-P3-01312.1212
922,4222 BELLASOL CIRCLE,,FORT MYERS,FL,33916,9,4,10511476,31-44-25-P3-01609.0922
211,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502545,31-44-25-P3-01402.0211
1121,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503631,31-44-25-P3-01311.1121
1011,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511479,31-44-25-P3-01610.1011
1712,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508184,31-44-25-P3-01417.1712
1513,4136 BELLASOL CIRCLE,,FORT MYERS,FL,33916,15,2,10505628,31-44-25-P3-01415.1513
1115,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503629,31-44-25-P3-01311.1115
2224,4275 BELLASOL CIRCLE,,FORT MYERS,FL,33916,22,5,10517691,31-44-25-P3-01722.2224
2523,4293 BELLASOL CIRCLE,,FORT MYERS,FL,33916,25,6,10517110,31-44-25-P3-01825.2523
125,4117 BELLASOL CIRCLE,,FORT MYERS,FL,33916,1,1,10501872,31-44-25-P3-01301.0125
